id,customer
1,256914
2,242994
3,327044
4,132311
5,415438
6,143132
7,587572
8,442397
9,359966
10,596926
11,132599
12,223441
13,147530
14,378572
15,511506
16,600864
17,535770
18,126675
19,356064
20,267596
21,307611
22,335530
23,159316
24,657799
25,343748
26,312433
27,624976
28,410976
29,356496
30,517117
31,622758
32,175338
33,268358
34,527647
35,191290
36,214678
37,462807
38,555000
39,411331
40,580882
41,560773
42,324160
43,308482
44,612730
45,335980
46,608013
47,162203
48,405362
49,402121
50,549072
51,645711
52,366288
53,292171
54,286676
55,191370
56,345686
57,516475
58,145565
59,250448
60,200526
61,303741
62,344238
63,430517
64,199258
65,555403
66,197092
67,652283
68,122655
69,165428
70,590772
71,489421
72,513731
73,490193
74,626376
75,578486
76,659868
77,281705
78,570683
79,642304
80,535612
81,140350
82,434930
83,525437
84,260931
85,298695
86,516077
87,519457
88,277031
89,321238
90,570857
91,576660
92,553499
93,402715
94,138677
95,354943
96,229415
97,606651
98,399521
99,118944
100,177828
101,135112
102,513724
103,316333
104,494008
105,310068
106,377612
107,642283
108,130501
109,459272
110,581522
111,248691
112,537368
113,443743
114,132234
115,460863
116,414360
117,254302
118,234166
119,621545
120,174132
121,326780
122,561273
123,193626
124,567048
125,150657
126,346602
127,588466
128,321492
129,358712
130,385626
131,400747
132,195670
133,664678
134,121561
135,231991
136,658783
137,184824
138,575573
139,523155
140,202560
141,550127
142,551503
143,350381
144,616333
145,579946
146,473590
147,521771
148,177116
149,401263
150,241304
151,498490
152,488800
153,408892
154,357489
155,391359
156,658802
157,209356
158,232863
159,379162
160,286460
161,578083
162,344815
163,186913
164,464132
165,399466
166,229047
167,472487
168,329957
169,465421
170,341628
171,172424
172,410848
173,347380
174,596137
175,462227
176,494898
177,531675
178,172675
179,198994
180,623847
181,433100
182,335682
183,369997
184,495812
185,286270
186,297746
187,614709
188,117508
189,515331
190,607848
191,648526
192,371919
193,210626
194,115393
195,504597
196,146826
197,545173
198,389742
199,281848
200,199927
201,329391
202,553872
203,259196
204,333533
205,130249
206,611534
207,343666
208,653123
209,337329
210,443477
211,186040
212,426231
213,187205
214,137985
215,587460
216,549332
217,197209
218,331226
219,516180
220,592534
221,569869
222,518516
223,515416
224,241535
225,202493
226,603728
227,634521
228,428832
229,522636
230,528369
231,348171
232,144710
233,643694
234,581020
235,396404
236,419793
237,188510
238,523690
239,302279
240,308277
241,481337
242,179738
243,137798
244,300426
245,202047
246,158754
247,406036
248,462486
249,315053
250,559255
251,515285
252,294025
253,354679
254,279385
255,206360
256,651317
257,618361
258,613820
259,367423
260,385001
261,626072
262,317171
263,515633
264,484271
265,588888
266,301703
267,420652
268,161255
269,252703
270,471485
271,442617
272,552018
273,256438
274,357656
275,150790
276,229465
277,570001
278,355852
279,216339
280,112339
281,300263
282,322192
283,296082
284,586204
285,540233
286,402135
287,423591
288,631017
289,372653
290,288898
291,503754
292,152567
293,196083
294,633322
295,372888
296,119922
297,595684
298,604000
299,294820
300,385832
301,583274
302,526178
303,468200
304,256095
305,171811
306,653126
307,481741
308,373054
309,170621
310,120773
311,639569
312,232765
313,352667
314,444006
315,414530
316,230545
317,182030
318,486325
319,650722
320,401355
321,482251
322,419760
323,353865
324,529988
325,144151
326,455927
327,246394
328,628372
329,649856
330,339678
331,607026
332,515333
333,590849
334,279586
335,352043
336,111306
337,425654
338,612735
339,257815
340,462017
341,553570
342,188434
343,543924
344,227609
345,178947
346,439819
347,498350
348,550855
349,243625
350,481679
351,299394
352,156553
353,317761
354,663397
355,477716
356,379853
357,226577
358,216956
359,357927
360,645325
361,379626
362,138761
363,135969
364,220894
365,602797
366,525044
367,369655
368,656961
369,333574
370,328047
371,637638
372,549087
373,576033
374,306071
375,620713
376,352445
377,216013
378,451140
379,419937
380,584827
381,524642
382,624622
383,359465
384,414139
385,657103
386,428063
387,129936
388,552679
389,193382
390,663907
391,502008
392,213809
393,473363
394,196655
395,434071
396,199992
397,373795
398,618453
399,232508
400,438646
401,356510
402,543333
403,483794
404,186949
405,308884
406,359498
407,521947
408,569614
409,337685
410,529817
411,560732
412,451418
413,420369
414,504700
415,642870
416,432158
417,197222
418,510336
419,492932
420,577249
421,374709
422,121450
423,372374
424,478767
425,543125
426,399392
427,275721
428,577107
429,303273
430,650483
431,286003
432,442933
433,632699
434,192130
435,607737
436,357997
437,637162
438,159048
439,203580
440,634957
441,584452
442,651812
443,616354
444,132262
445,558678
446,435984
447,598352
448,416411
449,115170
450,233323
451,575430
452,130921
453,650480
454,187817
455,294398
456,641339
457,474354
458,182426
459,657197
460,409132
461,264014
462,643825
463,252933
464,119031
465,494449
466,360892
467,467000
468,528904
469,447025
470,311478
471,314904
472,559177
473,463660
474,267276
475,417245
476,510798
477,508756
478,620582
479,156594
480,432667
